,ImageNumber,ImageFileName,ImagePathName,plate,well
0,1,F3_Stitching.czi - F3_Stitching.czi #2.tif,/home/wth/Downloads/testinfra/ISOLATED/labkit_Roberto/INPUT,F3,1
1,2,F2_Stitching.czi - F2_Stitching.czi #2.tif,/home/wth/Downloads/testinfra/ISOLATED/labkit_Roberto/INPUT,F2,1
2,3,B2_Stitching.czi - B2_Stitching.czi #2.tif,/home/wth/Downloads/testinfra/ISOLATED/labkit_Roberto/INPUT,B2,1
3,4,F4_Stitching.czi - F4_Stitching.czi #2.tif,/home/wth/Downloads/testinfra/ISOLATED/labkit_Roberto/INPUT,F4,1
4,5,F1_Stitching.czi - F1_Stitching.czi #2.tif,/home/wth/Downloads/testinfra/ISOLATED/labkit_Roberto/INPUT,F1,1
5,6,B1_Stitching.czi - B1_Stitching.czi #2.tif,/home/wth/Downloads/testinfra/ISOLATED/labkit_Roberto/INPUT,B1,1
6,7,B3_Stitching.czi - B3_Stitching.czi #2.tif,/home/wth/Downloads/testinfra/ISOLATED/labkit_Roberto/INPUT,B3,1
7,8,B4_Stitching.czi - B4_Stitching.czi #2.tif,/home/wth/Downloads/testinfra/ISOLATED/labkit_Roberto/INPUT,B4,1
